,id,name,com1,com2,Segment K-means PCA
314,7eKV3eq2hqgAkYaWF3voms,Big Butter And Egg Man,1.5983370281458729,-1.4407310578283128,1
315,0YIo0uq3o867nFkE9I9hf2,Pleadin' for the Blues,1.9627344531394613,-0.7549073604679601,1
316,0fuLzjcUhMW9s6NBsDb22L,Tight Like This,1.671086724683327,-0.8221184797868833,1
317,0oqDrehB6TLZNZk7J4sTKA,To Be In Love,1.396114332276582,-1.2765282596134941,1
319,4Q5I6riVFNV4mJaqSCmB0C,Basin Street Blues - rec. 1928,1.661726793338785,-0.6741465564442235,1
320,5f5zQytojoUSXcJKSJ4hJO,Put 'Em Down Blues,1.8600445404985,-1.2013291773347465,1
322,0GBMsGrBHw8rifEpXZabKx,Le Moment De M'en Aller,1.625902027047629,-1.220647581423457,1
326,1B9DQSfiDWhYZmkqbYyonp,C'est Au Bal Musette,1.9649142953732528,-0.6650216803623056,1
327,1C24gb2rQwSd262BP09DNB,Chanson De Route De Ciboulette,1.5717026736306055,-4.0608169675726415,1
328,1HfsGFkj5HdvEUyiWAr5Bv,Ma Gosse,1.780195203124624,-1.60443776070433,1
331,1YjHwSX3Y7X8586eaXM1Kk,Tu Voudrais Me Voir Pleurer,1.7111250040501822,-0.5028010556766921,1
336,1xci8Zmd0JnJD5g2WwXpNx,Electric Girl - Remasterizado,2.378009359333791,-0.8981668156181934,1
338,21QQ5ZuQUjPQQRi1JzR8GY,Veranito de San Juan - Remasterizado,2.525894217189258,-0.9028265536062797,1
339,25SMQZnHTtKcUxFIpG7Mhp,The Loveliest Night of the Year,1.2815246100333784,-0.1310577572702305,1
341,282GBb96Uc1l3nvDZU14Wr,La Garconniere - Remasterizado,3.521118143420168,-1.3932131917721446,1
342,2DMT63ps2b8F2PmbVG1Jtu,D'la Vraie Amour,1.9601359380706969,-1.8307919502876007,1
344,2d3OQvoLSn9NA4sMGIYxNT,La Valse Du Faubourg,1.569612455102062,-1.3870749022285636,1
349,2zFWLv60Tyz6D7SUQUNZtH,Elle N'est Pas Si Mal Que Ca,2.1554609541156045,-0.5040716925884912,1
350,34rdVyVGI2u6I0tNWc8v0Y,Nous Avons Fait Un Beau Voyage,1.7583511810963623,-1.5991692097751666,1
351,35gyMzxIMFL4e2YL5hkpH6,I Ain't No Body's Darling - Remasterizado,1.9777938315549561,-0.6988408599480112,1
352,3DWEcGDSXu42LYHbSVYguU,There's No Tomorrow,1.029933463853055,-1.5994815357188898,1
353,3IOmj6NIiknYGtIuFGBSBG,Muchachita Loca - Remasterizado,2.469852326521161,-0.7208847982294866,1
354,3V2R1hDixOyRYEIWdYm0OC,Nubes de Humo - Remasterizado,2.3284400396286853,-0.8138821767224907,1
356,3ZKOtk1YGKwrQkDhi73zJr,Dans Les Jardins De L'alhambra,1.3589168737679935,-1.4555990129854108,1
357,3erNdiLPou8N2daJMvaaWv,Dinah,0.5281526373249225,-1.6247735257671896,1
358,3f4HAZPUTSrQbK6jCwQhnx,You Broke the Only Heart That Ever Loved You,0.8995059584465949,-1.059778875125386,1
359,3lWtpc2gKflv5xG7qGVA9l,I Can't Give You Anything But Love,0.7193511966257935,-1.3655484995684368,1
360,3zsFs71s4rmanTNdQUatzS,You Never Miss the Water till the Well Runs Dry,1.0131798469696696,-1.0751371486726584,1
364,4aBACPRAZ0c9aE4hANFqQC,El Ranchito - Remasterizado,3.273839243964038,-0.9635101886958449,1
365,4eM1VXQJL2BUF8oS5z0aMg,Sleepy Time Gal,0.6256573624744933,-1.614149206188756,1
367,4qCTrMjyVYDIGVKSGbuBNF,Il N'osait Pas Se Decider,1.70650482348193,-2.078876971323076,1
368,4rU4TQ59s6Z91flH6bqPKM,Le Roudoudou,2.010574618812333,-0.8406453992318739,1
369,4xHyPfnrvKvatqt2oj3b4V,I Don't Know Enough About You,0.9115027055959588,-1.3775818356077496,1
372,51aC0HxEnEvhiuCRRXwipW,Si Vous N'aimez Pas Ca,2.0903381614207395,-1.6823856668038941,1
373,52LOYFwwceYeK0A0XCA8CG,C'est Paris,2.0136745795331836,-0.682936329812225,1
374,52rqxBsKzlyuWPkZDTryPJ,Ekipa Je Na Nogama,0.39907224023999566,-0.7479127428102955,1
376,545izoN6zrJPVbxnuWWv6e,Pelele - Remasterizado,2.4823381939597975,-0.9645306722243018,1
377,55ihYpQJAmCxrStWCqbyLz,Y'a Des Loups,1.933050787187548,-1.022096714553627,1
378,56nYVNAo1pyeR5lNyQDkaw,Linda,0.9959476376222418,-1.4742755837418222,1
380,5G5CFwLItSxfy3lsiaL6D7,La Java - Remasterizado,2.3516972623643517,-0.8097016989315242,1
381,5GUQeC4Yp5G89gxfRPJB4G,Long Live Love Life,2.236556658299112,-0.4628675177973088,1
382,5NVr3qEKa1YJiFs4W04JbF,Ose Anna,1.7442612178303607,-0.9499736762708493,1
386,5wBkFVpjJiuRi8ZomCngAU,Beis Ep,-0.42124923518838914,-0.48966617727970596,1
389,6DT6nvj99xYdNwh4zc2qVM,Glow Worm,0.345092853799102,-1.8783138848616927,1
390,6FY2h8LhZnDLz2qLiDu0kw,Aime Moi Emma,1.9468475584524338,-1.139316444289922,1
391,6Gevw7gzy3smhlriQzlCVG,Couplets De La Haut,2.3311086639787897,-1.3049026654194245,1
394,6nL3RDerJ8lSOX1anIzpdz,Quand On Aime On A Toujours Vingt Ans,1.7774877461977552,-0.39150554505771196,1
395,6wgJnau215hVv6zrtPkBuz,Bye Bye Blackbird,0.7273902900869306,-1.2852020722496713,1
396,6yqYqwtzaMNOHDiNScVuwc,Paper Doll,1.2591870203348874,-0.17535392198653105,1
